Year,Month,Student(Enrolment),Student(Commencement),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,January,"126,316","12,911",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,January,"148,417","13,493",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,January,"162,158","13,737",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,January,"176,972","16,856",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,January,"190,367","18,078",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,January,"213,006","23,149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,January,"245,035","27,379",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,January,"297,943","31,894",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,January,"316,777","27,557",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,January,"286,283","28,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,January,"261,317","25,193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,January,"249,245","25,732",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,January,"262,397","27,473",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,January,"296,961","30,784",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,January,"330,254","31,726",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,January,"387,522","43,940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,January,"436,923","42,951",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,January,"485,836","44,143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,January,"529,129","45,621",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,February,"158,456","45,051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,February,"184,157","49,233",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,February,"201,468","53,047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,February,"229,561","69,445",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,February,"246,540","74,251",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,February,"275,512","85,655",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,February,"308,837","91,181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,February,"367,461","101,412",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,February,"383,249","94,029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,February,"366,600","108,453",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,February,"331,015","94,891",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,February,"305,497","81,984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,February,"321,400","86,476",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,February,"356,591","90,414",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,February,"428,170","129,642",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,February,"481,199","137,617",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,February,"537,598","143,626",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,February,"578,703","137,010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,February,"610,553","127,045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,March,"187,299","73,894",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,March,"213,880","78,956",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,March,"231,828","83,407",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,March,"245,454","85,338",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,March,"264,155","91,866",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,March,"295,459","105,602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,March,"343,771","126,115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,March,"409,148","143,099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,March,"427,015","137,795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,March,"384,370","126,223",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,March,"349,665","113,541",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,March,"338,090","114,577",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,March,"370,306","135,382",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,March,"410,624","144,447",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,March,"455,838","157,310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,March,"517,126","173,544",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,March,"575,618","181,646",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,March,"636,394","194,701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
